EMA_short,EMA_long,Total_Trades,Profit_Trades,Loss_Trades,Net_Profit
75,81,34,11,23,136040.2817
61,98,34,11,23,134650.2405
65,100,32,12,20,134109.7169
77,84,32,12,20,133410.4007
78,83,32,12,20,133410.4007
79,82,32,12,20,133410.4007
71,98,32,10,22,132865.2335
89,100,30,9,21,132600.0977
90,99,30,9,21,132600.0977
91,98,30,9,21,132600.0977
70,83,34,11,23,129890.1355
71,82,34,11,23,129890.1355
72,81,34,11,23,129890.1355
66,92,36,11,25,127630.2721
69,93,32,12,20,126530.1277
70,92,32,12,20,126530.1277
71,91,32,12,20,126530.1277
72,90,32,12,20,126530.1277
72,89,32,12,20,126220.3617
73,88,32,12,20,126220.3617
74,87,32,12,20,126220.3617
75,86,32,12,20,126220.3617
76,85,32,12,20,126220.3617
90,95,30,9,21,125489.5525
91,94,30,9,21,125489.5525
92,93,30,9,21,125489.5525
75,87,32,12,20,124250.5383
76,86,32,12,20,124250.5383
73,89,32,12,20,123340.1863
74,88,32,12,20,123340.1863
77,85,32,12,20,123220.5579
78,84,32,12,20,123220.5579
71,96,32,12,20,123149.9027
69,95,32,12,20,122729.7375
82,100,30,10,20,121609.6679
93,97,30,9,21,121060.3523
94,96,30,9,21,121060.3523
80,86,32,12,20,120214.9407
67,95,34,12,22,120130.1275
66,91,36,11,25,119980.3197
74,92,32,11,21,119029.8831
71,90,34,12,22,116820.1667
69,99,32,10,22,114680.0783
78,88,32,12,20,113024.9017
79,87,32,12,20,113024.9017
74,93,32,12,20,112514.9417
75,92,32,12,20,112514.9417
86,100,30,9,21,112379.4931
84,98,30,9,21,110239.7459
85,97,30,9,21,110239.7459
86,95,30,9,21,110239.7459
86,96,30,9,21,110239.7459
87,94,30,9,21,110239.7459
87,95,30,9,21,110239.7459
88,93,30,9,21,110239.7459
88,94,30,9,21,110239.7459
89,92,30,9,21,110239.7459
89,93,30,9,21,110239.7459
90,91,30,9,21,110239.7459
90,92,30,9,21,110239.7459
71,97,32,11,21,110020.1173
79,99,30,10,20,109170.1173
80,98,30,10,20,109170.1173
81,97,30,10,20,109170.1173
82,96,30,10,20,109170.1173
69,92,34,12,22,108970.2157
80,81,32,12,20,108620.3607
83,99,32,9,23,107409.6679
92,97,30,9,21,106379.9797
93,96,30,9,21,106379.9797
94,95,30,9,21,106379.9797
72,83,34,12,22,105020.1645
70,91,34,12,22,104180.1765
85,100,30,9,21,103059.6685
86,99,30,9,21,103059.6685
87,98,30,9,21,103059.6685
70,94,32,11,21,102499.6595
88,97,30,9,21,101669.6305
89,96,30,9,21,101669.6305
69,86,34,12,22,101630.2221
70,85,34,12,22,101630.2221
71,84,34,12,22,101630.2221
74,80,34,12,22,101630.2221
75,79,34,12,22,101630.2221
76,78,34,12,22,101630.2221
67,98,34,11,23,99409.6205
79,83,32,12,20,98430.5179
80,82,32,12,20,98430.5179
72,95,32,12,20,97849.9027
70,96,32,11,21,97450.0003
71,95,32,11,21,97450.0003
72,94,32,11,21,97450.0003
73,93,32,11,21,97450.0003
92,100,30,9,21,97110.4499
68,98,32,10,22,96250.0979
68,88,34,12,22,96050.2425
69,87,34,12,22,96050.2425
73,82,34,12,22,96050.2425
74,81,34,12,22,96050.2425
75,80,34,12,22,96050.2425
76,79,34,12,22,96050.2425
77,78,34,12,22,96050.2425
78,85,32,11,21,95549.8539
79,84,32,11,21,95549.8539
80,83,32,11,21,95549.8539
81,82,32,11,21,95549.8539
93,99,30,9,21,95410.4499
94,98,30,9,21,95410.4499
95,97,30,9,21,95410.4499
81,85,32,12,20,94914.9407
82,84,32,12,20,94914.9407
70,98,32,10,22,94710.1563
68,93,34,12,22,93380.1757
71,88,34,12,22,93010.3501
70,89,34,11,23,90960.3501
66,96,36,12,24,90460.0573
71,86,34,11,23,89740.4281
72,85,34,11,23,89740.4281
68,92,34,12,22,89670.1161
84,93,30,10,20,88229.9809
69,90,34,11,23,87280.4681
68,90,34,11,23,86670.5071
67,100,32,10,22,86450.0979
83,98,30,9,21,85799.8045
84,97,30,9,21,85799.8045
85,96,30,9,21,85799.8045
85,92,30,10,20,85400.0003
86,91,30,10,20,85400.0003
87,90,30,10,20,85400.0003
88,89,30,10,20,85400.0003
64,97,34,11,23,85090.2339
66,93,36,11,25,84720.2147
65,96,34,12,22,82570.1159
87,99,30,9,21,82189.6491
69,97,32,10,22,82140.0393
69,98,32,10,22,82140.0393
70,97,32,10,22,82140.0393
74,90,32,11,21,81399.7083
67,89,34,12,22,81370.4561
80,85,32,11,21,80964.7457
68,87,34,12,22,80920.0661
71,83,34,12,22,80920.0661
72,82,34,12,22,80920.0661
73,81,34,12,22,80920.0661
70,84,34,12,22,79530.0281
68,99,34,10,24,79309.9613
70,99,32,10,22,78690.2345
75,89,32,11,21,78689.7471
76,88,32,11,21,78689.7471
77,87,32,11,21,78689.7471
88,98,30,9,21,77969.6297
89,97,30,9,21,77969.6297
73,94,32,12,20,77879.9807
68,100,32,10,22,77790.0403
78,87,32,11,21,77304.5899
63,97,34,11,23,75670.2143
73,87,34,12,22,75240.5277
74,86,34,12,22,75240.5277
75,85,34,12,22,75240.5277
76,84,34,12,22,75240.5277
73,84,34,11,23,74690.4281
74,83,34,11,23,74690.4281
75,82,34,11,23,74690.4281
76,81,34,11,23,74690.4281
77,80,34,11,23,74690.4281
78,79,34,11,23,74690.4281
67,93,34,12,22,73860.1551
81,84,32,11,21,73584.6677
69,94,32,12,20,72630.0301
70,93,32,12,20,72630.0301
72,87,34,12,22,72200.3891
77,83,34,12,22,71880.5665
78,82,34,12,22,71880.5665
79,81,34,12,22,71880.5665
73,91,32,11,21,71749.6595
69,100,34,10,24,71600.1955
63,98,34,11,23,70290.2339
71,92,32,12,20,70280.2263
70,95,32,11,21,70169.6301
82,83,32,11,21,70014.7459
65,97,34,12,22,68600.1951
71,94,32,11,21,67459.6689
72,93,32,11,21,67459.6689
73,92,32,11,21,67459.6689
74,91,32,11,21,67459.6689
75,90,32,11,21,67459.6689
76,89,32,11,21,67459.6689
77,88,32,11,21,67459.6689
79,97,30,9,21,66914.9409
77,82,34,12,22,65280.5657
78,81,34,12,22,65280.5657
79,80,34,12,22,65280.5657
66,97,32,12,20,64600.1471
68,96,32,12,20,64309.9139
77,100,30,9,21,64125.0971
78,99,30,9,21,64125.0971
78,80,34,11,23,63180.4673
68,91,34,11,23,63170.4095
64,100,32,12,20,62210.1081
65,98,32,12,20,62210.1081
72,91,32,12,20,62060.2069
78,86,32,11,21,61089.7461
79,85,32,11,21,61089.7461
80,84,32,11,21,61089.7461
81,83,32,11,21,61089.7461
66,98,32,12,20,60809.9131
71,89,34,12,22,59650.4877
72,88,34,12,22,59650.4877
69,91,34,12,22,59400.3893
64,96,34,11,23,58980.1753
77,86,32,11,21,58869.7769
65,99,32,12,20,58419.8741
73,90,32,12,20,58269.9729
67,96,32,12,20,57570.0691
68,95,32,12,20,57570.0691
65,95,34,11,23,57410.2535
64,95,34,11,23,57110.3511
65,94,34,11,23,57110.3511
71,93,32,11,21,56949.6595
72,92,32,11,21,56949.6595
67,94,34,12,22,56820.3123
70,90,34,12,22,56770.5073
67,91,34,11,23,56610.5451
75,83,34,11,23,55990.4283
76,82,34,11,23,55990.4283
77,81,34,11,23,55990.4283
63,99,34,12,22,55659.9599
78,100,30,9,21,55270.0191
74,85,34,12,22,55210.5463
75,84,34,12,22,55210.5463
76,83,34,12,22,55210.5463
69,96,32,11,21,54859.6691
67,92,34,11,23,54370.5073
75,78,34,12,22,52540.1355
76,77,34,12,22,52540.1355
79,86,32,11,21,52004.7849
67,97,34,12,22,50949.7571
66,94,36,11,25,50250.1951
91,96,30,9,21,48559.6689
